simulation,n_disasters,total_appropriation,mean_appropriation
4436,5,22135412.53320663,4427082.5066413265
4437,1,32685663.74479219,32685663.74479219
4438,3,1128384318.1624796,376128106.0541599
4439,6,99794202.9654403,16632367.160906717
4440,1,39383905.0661263,39383905.0661263
4441,1,2400930.3069334854,2400930.3069334854
4442,1,2644094.304187966,2644094.304187966
4443,6,77029184.08299111,12838197.347165184
4444,3,8815962.35115603,2938654.11705201
4445,2,265317185.85237545,132658592.92618772
4446,1,2808319.140269191,2808319.140269191
4447,1,32435066.528291445,32435066.528291445
4448,5,59720718.66117263,11944143.732234526
4449,1,22904238.731480125,22904238.731480125
4450,1,84472.51972177855,84472.51972177855
4451,2,8755540.097532198,4377770.048766099
4452,5,100245464.47873457,20049092.895746913
4453,1,9946671.092494212,9946671.092494212
4454,6,26011328.188495904,4335221.364749317
4455,1,20490720.90951273,20490720.90951273
4456,1,7107541.828539879,7107541.828539879
4457,1,5563222.302008116,5563222.302008116
4458,1,4265439.9039371675,4265439.9039371675
4459,1,7066054.440192124,7066054.440192124
4460,5,34975370.88784394,6995074.177568788
4461,1,177313189.1002829,177313189.1002829
4462,6,267298716.4707693,44549786.07846155
4463,1,7527374.737523375,7527374.737523375
4464,5,23735880.902437065,4747176.180487413
4465,2,18982907.356414936,9491453.678207468
4466,5,136559938.1289623,27311987.625792462
4467,1,18541850.952279817,18541850.952279817
4468,2,39143547.68800533,19571773.844002664
4469,6,80426002.29153569,13404333.715255948
4470,1,916242.9715120711,916242.9715120711
4471,6,70110345.30934952,11685057.551558254
4472,1,32641175.460254204,32641175.460254204
4473,1,4261512.087992291,4261512.087992291
4474,6,36999218.636219606,6166536.439369935
4475,1,8291697.82550288,8291697.82550288
4476,6,224803871.4455028,37467311.907583795
4477,5,24004554.21589472,4800910.843178945
4478,5,6454929.2882473525,1290985.8576494704
4479,1,5244097.365535128,5244097.365535128
4480,1,6612879.994349583,6612879.994349583
4481,1,750363.8297459354,750363.8297459354
4482,5,45869257.58539337,9173851.517078673
4483,1,8478548.021855468,8478548.021855468
4484,5,101550164.13681096,20310032.82736219
4485,1,23932532.413741853,23932532.413741853
4486,1,3507186.242413609,3507186.242413609
4487,1,5354709.540020169,5354709.540020169
4488,6,781976004.3103703,130329334.05172838
4489,1,3107955.6916380953,3107955.6916380953
4490,1,11263778.589360235,11263778.589360235
4491,1,3147020.917431815,3147020.917431815
4492,1,7065522.52011403,7065522.52011403
4493,1,15717900.833222875,15717900.833222875
4494,1,7288985.575285375,7288985.575285375
4495,1,43583306.04456179,43583306.04456179
4496,1,5785652.254297377,5785652.254297377
4497,1,38236.467314196576,38236.467314196576
4498,1,2810333.400006141,2810333.400006141
4499,1,246651.67991266833,246651.67991266833
4500,2,30710244.555683684,15355122.277841842
4501,3,5972994.770823409,1990998.2569411362
4502,1,940310.1407738252,940310.1407738252
4503,6,89524207.07654285,14920701.179423809
4504,6,143455721.24016473,23909286.873360787
4505,6,141146331.51423258,23524388.58570543
4506,5,95372169.74581173,19074433.949162345
4507,1,37756225.40903117,37756225.40903117
4508,1,16025757.036119683,16025757.036119683
4509,1,7012632.077510949,7012632.077510949
4510,2,35733344.79534364,17866672.39767182
4511,1,4847710.572044963,4847710.572044963
4512,3,203276591.7727996,67758863.92426653
4513,1,10373254.325468037,10373254.325468037
4514,1,18239325.172182996,18239325.172182996
4515,1,384297.9976130967,384297.9976130967
4516,1,8379508.729526087,8379508.729526087
4517,1,18281892.039122075,18281892.039122075
4518,1,11919538.371518092,11919538.371518092
4519,1,17948894.715113815,17948894.715113815
4520,5,125738724.42407677,25147744.884815354
4521,5,49117089.256551415,9823417.851310283
4522,1,2717278.949353067,2717278.949353067
4523,1,15291447.450812353,15291447.450812353
4524,1,60859.932491148495,60859.932491148495
4525,1,11250132.531218914,11250132.531218914
4526,5,24607796.490112323,4921559.298022465
4527,1,33083685.27670212,33083685.27670212
4528,3,22060473.23859384,7353491.079531279
4529,5,142120015.8965529,28424003.17931058
4530,1,18752836.43187161,18752836.43187161
4531,5,417026694.3301159,83405338.86602318
4532,3,22400842.81168823,7466947.603896077
4533,1,6122879.470693466,6122879.470693466
4534,2,2153469.4668120528,1076734.7334060264
4535,1,12973568.679511482,12973568.679511482
4536,1,2341453.3118132623,2341453.3118132623
4537,6,428464834.9197375,71410805.81995626
4538,6,99284518.69037783,16547419.781729639
4539,1,12051666.906798622,12051666.906798622
4540,3,84484862.4416518,28161620.813883934
4541,1,13820520.621119602,13820520.621119602
4542,1,20130777.666312978,20130777.666312978
4543,3,62840295.271102875,20946765.090367626
4544,1,10179248.966151493,10179248.966151493
4545,1,8835444.182360115,8835444.182360115
4546,1,2332306.274964084,2332306.274964084
4547,1,59856023.06867067,59856023.06867067
4548,5,38188658.66800619,7637731.733601238
4549,3,160144401.8735554,53381467.29118513
4550,5,85215680.58657864,17043136.11731573
4551,2,7672409.034545137,3836204.5172725683
4552,2,23923957.87730294,11961978.93865147
4553,1,5639536.440710266,5639536.440710266
4554,3,3766621.3478450514,1255540.449281684
4555,6,148488938.42582873,24748156.404304788
4556,1,8147025.053976169,8147025.053976169
4557,1,538263.8836019034,538263.8836019034
4558,6,565843627.308502,94307271.21808366
4559,1,198687493.36010498,198687493.36010498
4560,1,33850392.299145035,33850392.299145035
4561,5,79168147.57070032,15833629.514140064
4562,1,1861478.2098787683,1861478.2098787683
4563,1,1348055.5567800428,1348055.5567800428
4564,6,95877414.37072611,15979569.061787685
4565,1,455273695.20446885,455273695.20446885
4566,1,171615068.12297744,171615068.12297744
4567,1,2962154.1687990497,2962154.1687990497
4568,1,83455.62760594962,83455.62760594962
4569,1,4474835.679445565,4474835.679445565
4570,1,7658776.775168026,7658776.775168026
4571,2,151372781.60160354,75686390.80080177
4572,1,3117997.897722264,3117997.897722264
4573,1,3514512.0255282195,3514512.0255282195
4574,1,1523746.2508711168,1523746.2508711168
4575,1,2032196.416382324,2032196.416382324
4576,1,125263502.12315732,125263502.12315732
4577,2,39618879.544530064,19809439.772265032
4578,1,91223872.75852253,91223872.75852253
4579,5,98614340.5957558,19722868.11915116
4580,1,45163291.20714057,45163291.20714057
4581,1,4698652.933111315,4698652.933111315
4582,5,70158472.54813658,14031694.509627316
4583,1,565779.6574778019,565779.6574778019
4584,6,110407444.29248236,18401240.715413727
4585,6,89188786.8145721,14864797.802428683
4586,5,53352279.09412485,10670455.818824971
4587,1,33280730.108131304,33280730.108131304
4588,1,2304686.9847644935,2304686.9847644935
4589,1,27178142.023492128,27178142.023492128
4590,2,294038943.1566644,147019471.5783322
