simulation,n_disasters,total_appropriation,mean_appropriation
637,5,37749338.17083789,7549867.634167577
638,1,240825447.88288626,240825447.88288626
639,2,6638786.035318514,3319393.017659257
640,1,15335580.121284727,15335580.121284727
641,1,74721511.86798628,74721511.86798628
642,3,45438243.519878566,15146081.173292855
643,1,141499337.64977956,141499337.64977956
644,5,98916140.4300963,19783228.08601926
645,6,441786322.2865031,73631053.71441717
646,1,10705851.530992722,10705851.530992722
647,6,143203219.79229024,23867203.29871504
648,6,43196249.294345096,7199374.882390849
649,3,22722180.93135049,7574060.310450163
650,1,12327163.02273335,12327163.02273335
651,2,27184138.455666203,13592069.227833102
652,1,32411651.106574576,32411651.106574576
653,5,127841291.37446016,25568258.274892032
654,1,19447483.67118178,19447483.67118178
655,1,164293186.19374514,164293186.19374514
656,1,296167.09836077323,296167.09836077323
657,5,108882781.55353361,21776556.310706723
658,1,14006117.535106787,14006117.535106787
659,1,15380281.858255599,15380281.858255599
660,1,1435404.578478094,1435404.578478094
661,5,43284675.00654593,8656935.001309186
662,1,571924.7178894714,571924.7178894714
663,5,81131654.88537721,16226330.977075443
664,1,5205239.265590355,5205239.265590355
665,6,59450307.65481491,9908384.609135818
666,1,15858388.036341732,15858388.036341732
667,5,59224869.459900424,11844973.891980086
668,1,1160842.8390249882,1160842.8390249882
669,3,327049270.6473449,109016423.54911496
670,2,285692403.8292141,142846201.91460705
671,3,50079814.182587445,16693271.394195816
672,1,8347978.107136949,8347978.107136949
673,1,5903575.2510359185,5903575.2510359185
674,1,76608719.09046991,76608719.09046991
675,1,77991254.76368345,77991254.76368345
676,5,68757647.6050741,13751529.521014819
677,6,78338163.8929202,13056360.648820033
678,1,3049447.5231001326,3049447.5231001326
679,6,46606901.399365395,7767816.899894233
680,5,72030432.84636232,14406086.569272464
681,1,21366737.367730018,21366737.367730018
682,1,50381474.81736246,50381474.81736246
683,1,998391.677476423,998391.677476423
684,6,96229851.82973436,16038308.638289059
685,1,10676519.094304044,10676519.094304044
686,2,33380385.77538493,16690192.887692465
687,1,21564835.884168096,21564835.884168096
688,1,4664237.776913651,4664237.776913651
689,5,87441583.68859355,17488316.73771871
690,6,258419650.88931996,43069941.81488666
691,3,49509847.05693406,16503282.352311352
692,2,37945826.531597756,18972913.265798878
693,3,112088736.24668504,37362912.08222835
694,1,1707672.6084910932,1707672.6084910932
695,1,552661596.6594442,552661596.6594442
696,6,263920494.17314136,43986749.028856896
697,1,2427051.106945211,2427051.106945211
698,1,267757.09057285066,267757.09057285066
699,1,4758550.352118755,4758550.352118755
700,1,3306520.5294399974,3306520.5294399974
701,1,2704322.7659690436,2704322.7659690436
702,1,32766200.78847716,32766200.78847716
703,6,19071873.51241592,3178645.585402653
704,5,51959669.28015319,10391933.85603064
705,1,2296621.2666543177,2296621.2666543177
706,6,164746850.95290813,27457808.492151354
